nama,jenis,lat,lon,provinsi
Sukamara,town,-2.71056,111.17141,KALIMANTAN TENGAH
Ketapang,city,-1.84467,109.97841,KALIMANTAN BARAT
Padang,village,-1.63908,108.95199,KALIMANTAN BARAT
Derangga,village,-2.44964,112.14589,KALIMANTAN TENGAH
Riam,village,-1.92692,111.89741,KALIMANTAN TENGAH
Panyumpa,village,-1.78215,112.02362,KALIMANTAN TENGAH
Tanjung Putri,village,-2.87482,111.45222,KALIMANTAN TENGAH
Karang Mas,village,-1.55268,111.20275,KALIMANTAN TENGAH
Betenung,village,-1.59789,110.61921,KALIMANTAN BARAT
Sungai Kinjil,village,-1.88134,109.98656,KALIMANTAN BARAT
Selimantan Jaya,village,-2.28918,110.58883,KALIMANTAN BARAT
Sungai Bedaun,village,-2.76206,111.78302,KALIMANTAN TENGAH
Nanga Palikodan,village,-1.9863,111.51202,KALIMANTAN TENGAH
Semantun,village,-2.19404,111.15902,KALIMANTAN TENGAH
Suka Mulia,village,-2.3389,110.6462,KALIMANTAN BARAT
Belibi,village,-1.8266,111.43112,KALIMANTAN TENGAH
Purbasari,village,-2.60558,111.72164,KALIMANTAN TENGAH
Derawa,village,-2.14974,112.16607,KALIMANTAN TENGAH
Babual Baboti,village,-2.58273,111.32033,KALIMANTAN TENGAH
Kemuning Biutak,village,-1.94649,110.40384,KALIMANTAN BARAT
Sungai Bakau,village,-2.98259,111.5862,KALIMANTAN TENGAH
Arga Mulya,village,-2.14228,111.39486,KALIMANTAN TENGAH
Benakitan,village,-1.68972,111.16507,KALIMANTAN TENGAH
Kepuluk,village,-1.8406,110.41899,KALIMANTAN BARAT
Tri Tunggal,village,-2.19335,111.55861,KALIMANTAN TENGAH
Jihing,village,-2.40653,111.15186,KALIMANTAN TENGAH
Batang Belian,hamlet,-2.28127,110.68073,KALIMANTAN BARAT
Tanjung Paring,village,-2.36252,112.17487,KALIMANTAN TENGAH
Pebihingan,village,-1.7431,110.56945,KALIMANTAN BARAT
Sidorejo,village,-2.67961,111.63374,KALIMANTAN TENGAH
Natai Kerbau,village,-2.54184,111.89852,KALIMANTAN TENGAH
Nanuah,village,-1.98954,111.65496,KALIMANTAN TENGAH
Suka Karya,village,-2.1257,110.70674,KALIMANTAN BARAT
Kahingai,village,-1.57973,111.40795,KALIMANTAN TENGAH
Pangkut,village,-2.18869,111.91934,KALIMANTAN TENGAH
Suka Mandang,village,-2.05317,112.18967,KALIMANTAN TENGAH
Lembah Hijau Dua,village,-1.5622,110.45935,KALIMANTAN BARAT
Sagu Suka Mulya,village,-2.36717,111.30529,KALIMANTAN TENGAH
Negeri Baru,village,-1.85006,110.01322,KALIMANTAN BARAT
Sabuai,village,-2.93427,111.47727,KALIMANTAN TENGAH
