nama,jenis,provinsi,lat,lon,pm25_wilayah,kategori_wilayah,tanggal_besok,pm25_ramal_besok,kategori_besok,tanggal_lusa,pm25_ramal_lusa,kategori_lusa,api_5km,api_searah_angin,pm25_hulu_60km,tingkat_siaga,alasan
Mengkalang Jambu,village,KALIMANTAN BARAT,-0.5,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,147.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Tasik Malaya,village,KALIMANTAN BARAT,-0.8,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Kubu,village,KALIMANTAN BARAT,-0.5,109.4,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,147.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Ambarawa,village,KALIMANTAN BARAT,-0.8,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Sungai Besar,village,KALIMANTAN BARAT,-0.8,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Dabung,village,KALIMANTAN BARAT,-0.6,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,147.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Tanjung Harapan,village,KALIMANTAN BARAT,-0.9,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Padang Tikar Dua,village,KALIMANTAN BARAT,-0.7,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Padang Tikar Satu,village,KALIMANTAN BARAT,-0.7,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Olak-Olak Kubu,village,KALIMANTAN BARAT,-0.5,109.4,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,147.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Sungai Jawi,village,KALIMANTAN BARAT,-0.8,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,67.0,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Pelita Jaya,village,KALIMANTAN BARAT,-0.5,109.3,147.8,tidak sehat,2026-09-12,116.4,tidak sehat,2026-09-13,104.8,tidak sehat,0,0,147.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Sekadau,city,KALIMANTAN BARAT,0.0,110.9,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Merapi,village,KALIMANTAN BARAT,0.0,111.0,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Rawak Hilir,village,KALIMANTAN BARAT,-0.1,110.9,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Benua Baru,village,KALIMANTAN BARAT,-0.2,111.3,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Meragun,village,KALIMANTAN BARAT,-0.3,110.9,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,61.6,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Sekubang,village,KALIMANTAN BARAT,-0.3,111.1,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,61.6,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Tapang Perodah,village,KALIMANTAN BARAT,-0.2,111.0,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Temawang Muntai,village,KALIMANTAN BARAT,-0.1,111.2,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Bernayau,village,KALIMANTAN BARAT,-0.3,111.2,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,61.6,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Cupang Gading,village,KALIMANTAN BARAT,-0.2,110.9,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,61.6,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Gernis Jaya,village,KALIMANTAN BARAT,-0.0,111.3,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Mangkurat Baru,village,KALIMANTAN BARAT,-0.1,111.3,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Sinar Pekayau,village,KALIMANTAN BARAT,-0.4,111.1,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,61.6,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
Bedayan,village,KALIMANTAN BARAT,-0.1,111.2,133.5,tidak sehat,2026-09-12,126.1,tidak sehat,2026-09-13,122.6,tidak sehat,0,0,91.8,SIAGA,diperkirakan besok tidak sehat; dan masih buruk lusa
