nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Sukamara,town,-2.71056,111.17141,KALIMANTAN TENGAH,55.57344055175781,56.33685302734375,45.24708557128906,8.018026900741313,8.018026900741313,8.018026900741313,2026-09-13,2026-09-14,2026-09-15
Ketapang,city,-1.84467,109.97841,KALIMANTAN BARAT,248.77883911132812,198.71519470214844,152.1938934326172,21.009482460368567,21.009482460368567,21.009482460368567,2026-09-13,2026-09-14,2026-09-15
Padang,village,-1.63908,108.95199,KALIMANTAN BARAT,20.12017059326172,20.50494956970215,18.917104721069336,39.705001649871036,39.705001649871036,39.705001649871036,2026-09-13,2026-09-14,2026-09-15
Derangga,village,-2.44964,112.14589,KALIMANTAN TENGAH,51.594444274902344,53.660369873046875,46.178382873535156,28.2230495908153,28.2230495908153,28.2230495908153,2026-09-13,2026-09-14,2026-09-15
Riam,village,-1.92692,111.89741,KALIMANTAN TENGAH,53.05601119995117,54.50258255004883,43.87955093383789,33.81756348876139,33.81756348876139,33.81756348876139,2026-09-13,2026-09-14,2026-09-15
Panyumpa,village,-1.78215,112.02362,KALIMANTAN TENGAH,53.05601119995117,54.50258255004883,43.87955093383789,12.470272088491987,12.470272088491987,12.470272088491987,2026-09-13,2026-09-14,2026-09-15
Tanjung Putri,village,-2.87482,111.45222,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,25.441364406273557,25.441364406273557,25.441364406273557,2026-09-13,2026-09-14,2026-09-15
Karang Mas,village,-1.55268,111.20275,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,19.969393769778677,19.969393769778677,19.969393769778677,2026-09-13,2026-09-14,2026-09-15
Betenung,village,-1.59789,110.61921,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,11.553131762212871,11.553131762212871,11.553131762212871,2026-09-13,2026-09-14,2026-09-15
Sungai Kinjil,village,-1.88134,109.98656,KALIMANTAN BARAT,248.77883911132812,198.71519470214844,152.1938934326172,23.781226756777922,23.781226756777922,23.781226756777922,2026-09-13,2026-09-14,2026-09-15
Selimantan Jaya,village,-2.28918,110.58883,KALIMANTAN BARAT,51.34287643432617,53.712745666503906,43.279014587402344,9.993727087799702,9.993727087799702,9.993727087799702,2026-09-13,2026-09-14,2026-09-15
